Created Month,Borough,Community Board,Agency,Complaint Type,Descriptor 1,# of SRs
2014 / 01,BRONX,01 BRONX,DOT,Street Condition,Failed Street Repair,1
2014 / 01,BRONX,01 BRONX,DOT,Street Condition,Pothole,41
2014 / 01,BRONX,01 BRONX,DOT,Street Sign - Damaged,Other/Unknown,1
2014 / 01,BRONX,01 BRONX,DOT,Street Sign - Dangling,Other/Unknown,1
2014 / 01,BRONX,01 BRONX,DSNY,Dirty Conditions,E15 Illegal Postering,26
2014 / 01,BRONX,01 BRONX,DSNY,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,2
2014 / 01,BRONX,01 BRONX,DSNY,Vacant Lot,8 Request to Clean Vacant Lot,1
2014 / 01,BRONX,03 BRONX,DOT,Street Condition,Failed Street Repair,1
2014 / 01,BRONX,03 BRONX,DSNY,Dirty Conditions,E15 Illegal Postering,1
2014 / 01,BRONX,04 BRONX,DOT,Street Condition,Cave-in,1
2014 / 01,BRONX,04 BRONX,DOT,Street Condition,Defective Hardware,3
2014 / 01,BRONX,04 BRONX,DOT,Street Condition,Failed Street Repair,3
2014 / 01,BRONX,04 BRONX,DOT,Street Condition,Pothole,8
2014 / 01,BRONX,04 BRONX,DOT,Street Sign - Damaged,Other/Unknown,5
2014 / 01,BRONX,04 BRONX,DOT,Street Sign - Dangling,Other/Unknown,1
2014 / 01,BRONX,04 BRONX,DPR,Maintenance or Facility,Garbage or Litter,1
2014 / 01,BRONX,04 BRONX,DSNY,Dirty Conditions,E15 Illegal Postering,37
2014 / 01,BRONX,04 BRONX,DSNY,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,1
2014 / 01,BRONX,04 BRONX,DSNY,Vacant Lot,8 Request to Clean Vacant Lot,1
2014 / 01,BRONX,05 BRONX,DOT,Street Condition,Cave-in,1
2014 / 01,BRONX,05 BRONX,DOT,Street Condition,Defective Hardware,1
2014 / 01,BRONX,05 BRONX,DOT,Street Condition,Failed Street Repair,7
2014 / 01,BRONX,05 BRONX,DOT,Street Condition,Pothole,8
2014 / 01,BRONX,05 BRONX,DOT,Street Sign - Damaged,Other/Unknown,5
2014 / 01,BRONX,05 BRONX,DSNY,Dirty Conditions,E15 Illegal Postering,42
2014 / 01,BRONX,07 BRONX,DOT,Sidewalk Condition,Newspaper Box Complaint,1
2014 / 01,BRONX,07 BRONX,DOT,Street Condition,Defective Hardware,4
2014 / 01,BRONX,07 BRONX,DOT,Street Condition,Failed Street Repair,4
2014 / 01,BRONX,07 BRONX,DOT,Street Sign - Damaged,Other/Unknown,1
2014 / 01,BRONX,07 BRONX,DSNY,Dirty Conditions,E15 Illegal Postering,16
2014 / 01,BRONX,08 BRONX,DOT,Street Condition,Defective Hardware,1
2014 / 01,BRONX,08 BRONX,DOT,Street Sign - Damaged,Other/Unknown,2
2014 / 01,BRONX,08 BRONX,DOT,Street Sign - Dangling,Other/Unknown,1
2014 / 01,BRONX,08 BRONX,DSNY,Dirty Conditions,E15 Illegal Postering,4
2014 / 01,BRONX,08 BRONX,DSNY,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,1
2014 / 01,BRONX,09 BRONX,DOT,Street Condition,Failed Street Repair,2
2014 / 01,BRONX,09 BRONX,DSNY,Dirty Conditions,E15 Illegal Postering,1
2014 / 01,BRONX,10 BRONX,DOT,Street Condition,Failed Street Repair,5
2014 / 01,BRONX,10 BRONX,DOT,Street Condition,Pothole,18
2014 / 01,BRONX,10 BRONX,DSNY,Dirty Conditions,E15 Illegal Postering,3
2014 / 01,BRONX,12 BRONX,DOT,Street Condition,Defective Hardware,2
2014 / 01,BRONX,12 BRONX,DOT,Street Condition,Failed Street Repair,17
2014 / 01,BRONX,12 BRONX,DOT,Street Condition,Pothole,10
2014 / 01,BRONX,12 BRONX,DSNY,Dirty Conditions,E15 Illegal Postering,12
2014 / 01,BRONX,12 BRONX,DSNY,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,1
2014 / 01,BRONX,Unspecified BRONX,DOT,Street Condition,Pothole,133
2014 / 01,BRONX,Unspecified BRONX,DOT,Traffic Signal Condition,Veh Signal Head,4
2014 / 01,BRONX,Unspecified BRONX,DSNY,Graffiti,Graffiti,96
2014 / 01,BROOKLYN,02 BROOKLYN,DOT,Street Condition,Failed Street Repair,16
2014 / 01,BROOKLYN,02 BROOKLYN,DOT,Street Condition,Pothole,1
2014 / 01,BROOKLYN,02 BROOKLYN,DOT,Street Sign - Dangling,Other/Unknown,1
2014 / 01,BROOKLYN,02 BROOKLYN,DSNY,Dirty Conditions,E15 Illegal Postering,1
2014 / 01,BROOKLYN,03 BROOKLYN,DOT,Street Condition,Failed Street Repair,10
2014 / 01,BROOKLYN,03 BROOKLYN,DOT,Street Sign - Dangling,Other/Unknown,1
2014 / 01,BROOKLYN,03 BROOKLYN,DSNY,Dirty Conditions,E15 Illegal Postering,8
2014 / 01,BROOKLYN,03 BROOKLYN,DSNY,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,1
2014 / 01,BROOKLYN,04 BROOKLYN,DSNY,Dirty Conditions,E15 Illegal Postering,1
2014 / 01,BROOKLYN,05 BROOKLYN,DOT,Bus Stop Shelter Complaint,Damaged Other,1
2014 / 01,BROOKLYN,05 BROOKLYN,DOT,Street Condition,Cave-in,1
2014 / 01,MANHATTAN,05 MANHATTAN,DOT,Street Condition,Pothole,6
2014 / 01,BROOKLYN,06 BROOKLYN,DOT,Street Condition,Failed Street Repair,56
2014 / 01,BROOKLYN,06 BROOKLYN,DOT,Street Condition,Pothole,3
2014 / 01,BROOKLYN,06 BROOKLYN,DSNY,Dirty Conditions,E15 Illegal Postering,2
2014 / 01,BROOKLYN,06 BROOKLYN,DSNY,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,2
2014 / 01,BROOKLYN,07 BROOKLYN,DOT,Sidewalk Condition,Broken Sidewalk,2
2014 / 01,BROOKLYN,07 BROOKLYN,DOT,Street Condition,Cave-in,2
2014 / 01,BROOKLYN,07 BROOKLYN,DOT,Street Condition,Failed Street Repair,14
2014 / 01,BROOKLYN,07 BROOKLYN,DOT,Street Condition,Pothole,33
2014 / 01,BROOKLYN,07 BROOKLYN,DOT,Street Sign - Dangling,Other/Unknown,1
2014 / 01,BROOKLYN,08 BROOKLYN,DOT,Street Condition,Failed Street Repair,14
2014 / 01,BROOKLYN,08 BROOKLYN,DOT,Street Condition,Pothole,2
2014 / 01,BROOKLYN,08 BROOKLYN,DOT,Street Condition,Wear & Tear,1
2014 / 01,BROOKLYN,08 BROOKLYN,DSNY,Dirty Conditions,E15 Illegal Postering,3
2014 / 01,BROOKLYN,08 BROOKLYN,DSNY,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,16
2014 / 01,BROOKLYN,09 BROOKLYN,DOT,Street Condition,Failed Street Repair,5
2014 / 01,BROOKLYN,09 BROOKLYN,DSNY,Dirty Conditions,E15 Illegal Postering,1
2014 / 01,BROOKLYN,09 BROOKLYN,DSNY,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,2
2014 / 01,BROOKLYN,10 BROOKLYN,DOT,Bus Stop Shelter Complaint,Damaged Other,1
2014 / 01,BROOKLYN,10 BROOKLYN,DOT,Street Condition,Failed Street Repair,9
2014 / 01,BROOKLYN,10 BROOKLYN,DOT,Street Condition,Pothole,4
2014 / 01,BROOKLYN,11 BROOKLYN,DOT,Street Condition,Cave-in,1
2014 / 01,BROOKLYN,11 BROOKLYN,DOT,Street Condition,Failed Street Repair,8
2014 / 01,BROOKLYN,11 BROOKLYN,DOT,Street Condition,Pothole,21
2014 / 01,BROOKLYN,11 BROOKLYN,DOT,Street Condition,Street Cave-In,1
2014 / 01,BROOKLYN,11 BROOKLYN,DSNY,Dirty Conditions,E15 Illegal Postering,4
2014 / 01,BROOKLYN,12 BROOKLYN,DOT,Sidewalk Condition,Broken Sidewalk,1
